titleId	directors	writers
tt0020092	nm0510839	nm0560857,nm0068419,nm0510839,nm0089800
tt0020135	nm0920074	nm0542534,nm0372698,nm0000581
tt0020215	nm0054977	nm0622435,nm0369038,nm0369036
tt0020223	nm0002031,nm0953123	nm0953123,nm0170401,nm0030860
tt0020269	nm0243295	nm0071596
tt0020321	nm0412235,nm0291259	nm0291259,nm0412235
tt0020324	nm0212704	nm0236279,nm0212704,nm0287124
tt0020335	nm0097648	nm0095732,nm0191996,nm0458934,nm0876811
tt0020389	nm0273203,nm0811914	nm0811914
tt0020402	nm0372609,nm0689471	nm0272209,nm0598805,nm0689471,nm0715723
tt0020415	nm0258015	nm0428734,nm0726588,nm0030860
tt0020439	nm0064600	nm0604526,nm0696788,nm0088670,nm0267868
tt0020479	nm0853130	nm0000636,nm0853130
tt0020530	nm0000320	nm0198557,nm0000320
tt0020564	nm0624756	nm0396876,nm0304321,nm0456646
tt0020629	nm0587277	nm0718871,nm0027173,nm0007973,nm0028636,nm0837989,nm0031033,nm0587277
tt0020640	nm0373511	nm0442151,nm0753452,nm0436095,nm0748438
tt0020655	nm0447217,nm0243295	nm0447655,nm0560803,nm0713255
tt0020681	nm0569645	nm0244212
tt0020691	nm0909825,nm0517264	nm0263346,nm0102293,nm0668685,nm0692891,nm0909825
tt0020697	nm0903049	nm0542777,nm0958454,nm0901629,nm0509510,nm0903049,nm0935567
tt0020701	nm0534226	nm0534226
tt0020713	nm0002031	nm0565402,nm0669277
tt0020785	nm0127511	nm0228693,nm0048874,nm0256221
tt0020900	nm0002179	nm0774539,nm0810290
tt0020929	nm0342417	nm0776997,nm0114095,nm0541641,nm0221865,nm0376575,nm0547966,nm0267868
tt0020960	nm0001843,nm0400652,nm0332539	nm0624714,nm0545309,nm0261455,nm0066946
tt0020986	nm0749484	nm0002317,nm0858440,nm0542534
tt0021073	nm0466099	nm0403398,nm0329312
tt0021076	nm0500749	nm0500749
tt0021079	nm0503777	nm0122446,nm0267020,nm0498133,nm0520501,nm0953123
tt0021114	nm0896826	nm0930082,nm0651000,nm0915047,nm0121667
tt0021128	nm0000033	nm0199304,nm0433288,nm0458283,nm0720904,nm0801026
tt0021147	nm0188669	nm0428177,nm0498133,nm0542534,nm0574112,nm0720805
tt0021149	nm0045800	nm0578479,nm0308177,nm0018470
tt0021165	nm0000033	nm0199304,nm0801026,nm0000033,nm0616601,nm0720904
tt0021224	nm0115218	nm0115218,nm0287124
tt0021239	nm0356931	nm0050981,nm0237072,nm0356931,nm0441601
tt0021288	nm0229553	
tt0021292	nm0000859,nm0629243	nm0191956,nm0267913,nm0394109,nm0562372,nm0866243
tt0021295	nm0281808	nm0035304,nm0299154
tt0021310	nm0113284	nm0791017,nm0580648,nm0562372
tt0021324	nm0187981	nm0887429,nm0922850,nm0613848
tt0021339	nm0569697	nm0907778
tt0021409	nm0163229	nm0163229
tt0021412	nm0136888	nm0063492,nm0179993,nm0494964
tt0021434	nm0412650	
tt0021456	nm0569697	nm0569697,nm0907778
tt0021483	nm0188669	nm0878494,nm0428177,nm0574112,nm0591791
tt0021504	nm0689471	nm0522871,nm0716139,nm0824699
tt0021538	nm0633394	nm1185468,nm0530731,nm0631346
tt0021571	nm0235590	nm0235590
tt0021596	nm0191386,nm0281487	
tt0021598	nm0386785	nm0002005,nm0608054,nm0575197
tt0021599	nm0689455	nm0140902,nm0329373,nm0587930
tt0021602	nm0736610	nm0408422,nm0370271,nm0119378,nm0556814,nm0869389
tt0021634	nm0307819	nm0482011,nm0118512,nm0307819
tt0021671	nm0002165,nm0282984	nm0347589
tt0021680	nm0763453	nm0299154,nm0819799,nm0858440
tt0021723	nm0806143	nm0494964,nm0860374
tt0021730	nm0896542	nm0547966,nm0875746,nm0549905
tt0021749	nm0000122	nm0000122,nm0139714,nm0188357
tt0021775	nm0763453	nm0067103,nm0397022,nm0763453,nm0916914
tt0021786	nm0275494	nm0774217,nm0401738,nm0191956,nm0547966
tt0021814	nm0005713,nm0115218	nm0831290,nm0213019,nm0049721,nm0287124,nm0111313,nm0115218,nm0169606,nm0614225,nm0826873,nm0828574
tt0021853	nm0541766	nm0187036,nm0447655
tt0021884	nm0001843	nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246
tt0021890	nm0587277	nm0372942,nm0531269,nm0179993,nm0496468
tt0021914	nm0067033	nm0458283,nm0776456,nm0844459
tt0021927	nm0064600	nm0228529,nm0369038,nm0369036,nm0394267
tt0021977	nm0348107	nm0236279,nm0908624
tt0022000	nm0564970	nm0221865,nm0114095,nm0376575,nm0564970
tt0022094	nm0448915	nm0588467,nm0397963,nm0788356
tt0022100	nm0000485	nm0902376,nm0000485,nm0414825
tt0022111	nm0215877	nm0358591,nm0298494,nm0391763,nm0399203
tt0022126	nm0803705	nm0074790,nm0581721
tt0022150	nm0163229	nm0077278,nm0347058,nm0163229
tt0022158	nm0572851	nm0673279,nm0426953,nm0790654,nm0790383,nm5030661
tt0022215	nm0468882,nm0871185	nm0468882,nm0871185
tt0022216	nm0233091	
tt0022265	nm0416258	nm0416258
tt0022268	nm0001008	nm0151310,nm0161428,nm0728307,nm0842485
tt0022276	nm0113284	nm0783629,nm0168829
tt0022279	nm0291548	nm0002021,nm0473134,nm0770337
tt0022286	nm0920074	nm0321891,nm0109148,nm0857710
tt0022296	nm0341486	nm0829330,nm0413590
tt0022301	nm0287888,nm0047281	nm0287888,nm0047281
tt0022307	nm0136888	nm0288986,nm0866243
