titleId,titleType,originalTitle,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0077303,movie,Casey's Shadow,1978.0,,117.0,"Drama,Family,Sport",6.1,616
tt1734416,movie,Cash Crop,2010.0,,83.0,Documentary,6.0,89
tt0080505,tvMovie,Casino,1980.0,,96.0,"Adventure,Drama",5.9,51
tt0112641,movie,Casino,1995.0,,178.0,"Crime,Drama",8.2,487510
tt0241292,short,Casino,1991.0,,11.0,Short,6.9,28
tt0276654,tvSeries,Casino,1989.0,,50.0,"Game-Show,Music",4.4,11
tt0364255,tvMovie,Casino,1992.0,,90.0,"Action,Adventure,Crime",8.2,16
tt0412562,video,Casino,2001.0,,,Adult,6.1,27
tt0640298,tvEpisode,Casino,2000.0,,23.0,"Comedy,Family",7.9,639
tt0649216,tvEpisode,Casino,1972.0,,60.0,"Action,Adventure,Crime",7.6,83
tt0707004,tvEpisode,Casino,2000.0,,30.0,Comedy,7.6,83
tt0720734,tvEpisode,Casino,2001.0,,,"Crime,Drama,Romance",6.9,13
tt0796671,tvSeries,Casino,2006.0,,,Drama,7.2,60
tt1511839,tvEpisode,Casino,2008.0,,,"Adventure,Animation,Comedy",7.4,14
tt1748902,tvSeries,Casino,2011.0,,,Drama,4.2,17
tt2194229,tvEpisode,Casino,2003.0,,44.0,Documentary,7.3,13
tt2786184,tvEpisode,Casino,2009.0,,47.0,"Documentary,History",7.8,8
tt4485060,tvEpisode,Casino,2015.0,,28.0,Comedy,7.7,23
tt0098708,movie,Zhi zun wu shang,1989.0,,127.0,"Action,Drama",6.7,428
tt0061452,movie,Casino Royale,1967.0,,131.0,Comedy,5.1,28701
tt0310853,tvEpisode,Casino Royale,1954.0,,52.0,Drama,5.7,1200
tt0381061,movie,Casino Royale,2006.0,,144.0,"Action,Adventure,Thriller",8.0,600531
tt12066204,videoGame,Casino Royale,2006.0,,,"Action,Adventure,Animation",5.4,12
tt2077187,tvEpisode,Casino Royale,2011.0,,15.0,"Comedy,History",4.8,5
tt0112642,movie,Casper,1995.0,,100.0,"Comedy,Family,Fantasy",6.1,126677
tt1644154,tvEpisode,Casper,2009.0,,22.0,"Comedy,Fantasy",7.6,123
tt2638376,tvSeries,Casper,1949.0,,,"Animation,Fantasy",6.4,230
tt7269298,tvEpisode,Casper,2017.0,,,"Crime,Drama",7.5,14
tt0140883,video,Casper Meets Wendy,1998.0,,90.0,"Adventure,Animation,Comedy",5.4,6855
tt0118824,video,Casper: A Spirited Beginning,1997.0,,90.0,"Animation,Comedy,Family",4.6,3851
tt0043386,movie,Casque d'or,1952.0,,96.0,"Crime,Drama,Romance",7.7,5349
tt0162222,movie,Cast Away,2000.0,,143.0,"Adventure,Drama,Romance",7.8,550931
tt5269604,short,Cast Away,2016.0,,6.0,"Action,Drama,Short",9.4,215
tt6473952,movie,Cast Away,2019.0,,90.0,"Adventure,Drama",3.9,27
tt0060218,movie,Cast a Giant Shadow,1966.0,,146.0,"Adventure,Drama,History",6.4,3152
tt0599743,tvEpisode,Cast a Giant Shadow,1995.0,,44.0,"Action,Adventure,Drama",7.1,319
tt0064137,movie,Castle Keep,1969.0,,107.0,"Action,Comedy,Drama",6.1,3016
tt0506496,tvEpisode,Castle Keep,1998.0,,,"Action,Adventure,Fantasy",6.6,23
tt0554664,tvEpisode,Castle Keep,2001.0,,,"Horror,Mystery,Thriller",5.9,9
tt0092067,movie,Tenkû no shiro Rapyuta,1986.0,,125.0,"Adventure,Animation,Drama",8.0,157287
tt4585484,tvEpisode,Castle in the Sky,2012.0,,46.0,Comedy,9.0,13
tt5289852,tvEpisode,Castle in the Sky,2014.0,,,"Documentary,Short",7.0,11
tt6428812,tvEpisode,Castle in the Sky,2018.0,,53.0,"Crime,Drama,Mystery",8.0,1494
tt0094846,movie,Casual Sex?,1988.0,,97.0,Comedy,5.0,3951
tt0097027,movie,Casualties of War,1989.0,,113.0,"Action,Crime,Drama",7.1,42733
tt0672560,tvEpisode,Casualties of War,2000.0,,43.0,"Action,Drama",9.1,29
tt0845686,tvEpisode,Casualties of War,2007.0,,93.0,"Crime,Drama,Mystery",8.2,484
